names,feature_number,score,abs_score
lsr_sc71_line_mean,41,0.7387051017318179,0.7387051017318179
ndvi_sc3_mean,11,-0.7085724915855528,0.7085724915855528
sfs_sc31_mean,134,-0.661023463828482,0.661023463828482
sfs_sc71_max_line_length,117,0.6519722574726154,0.6519722574726154
lsr_sc71_line_contrast,6,-0.6373400888490698,0.6373400888490698
sfs_sc51_w_mean,133,-0.6331142490512721,0.6331142490512721
hog_sc5_max,105,0.6023061335657837,0.6023061335657837
gabor_sc3_filter_3,58,0.5890497220566318,0.5890497220566318
ndvi_sc7_variance,43,-0.542890390457015,0.542890390457015
lbpm_sc5_variance,44,-0.5117962200934302,0.5117962200934302
orb_sc31_skew,25,0.5003631803640299,0.5003631803640299
gabor_sc3_filter_8,63,0.4717100648487581,0.4717100648487581
sfs_sc51_min_line_length,129,0.4398455714818647,0.4398455714818647
sfs_sc51_max_line_length,143,-0.3989539016578675,0.3989539016578675
gabor_sc5_filter_12,70,-0.3952429378177108,0.3952429378177108
lbpm_sc7_mean,19,0.38900793258471233,0.38900793258471233
orb_sc31_mean,0,0.38798330854340113,0.38798330854340113
lsr_sc51_line_length,7,0.34173656932633734,0.34173656932633734
sfs_sc31_std,116,0.32036009778113084,0.32036009778113084
gabor_sc3_mean,65,0.26912340310104266,0.26912340310104266
gabor_sc5_filter_11,69,0.26891055400051356,0.26891055400051356
orb_sc31_kurtosis,17,-0.25985626705103465,0.25985626705103465
mean_sc7_variance,120,-0.2577426895001628,0.2577426895001628
hog_sc7_skew,112,-0.2567612170357111,0.2567612170357111
orb_sc71_skew,27,-0.24510200432576212,0.24510200432576212
hog_sc3_max,100,0.2328796903612413,0.2328796903612413
sfs_sc71_min_line_length,138,0.21701437141233063,0.21701437141233063
hog_sc5_kurtosis,104,-0.21685064907541993,0.21685064907541993
lsr_sc51_line_mean,32,0.2121133113265683,0.2121133113265683
ndvi_sc7_mean,42,-0.20304330052194697,0.20304330052194697
orb_sc71_max,12,-0.1939283910977397,0.1939283910977397
hog_sc7_kurtosis,109,0.18850935498169077,0.18850935498169077
orb_sc51_max,16,-0.1729194136231309,0.1729194136231309
lac_sc5_lac,114,0.1548756283149358,0.1548756283149358
gabor_sc3_filter_6,61,0.15025047510299178,0.15025047510299178
mean_sc5_mean,132,0.1401022300720759,0.1401022300720759
lbpm_sc3_mean,9,0.13303009990688952,0.13303009990688952
ndvi_sc3_variance,29,-0.12708806561599176,0.12708806561599176
gabor_sc7_filter_8,95,-0.09115769235518865,0.09115769235518865
sfs_sc31_w_mean,142,-0.07527277444046565,0.07527277444046565
mean_sc3_variance,119,-0.0678750464210152,0.0678750464210152
hog_sc5_skew,107,-0.05029901769165828,0.05029901769165828
pantex_sc3_min,121,-0.04371835666960749,0.04371835666960749
gabor_sc3_filter_12,54,0.038093202906082785,0.038093202906082785
orb_sc51_kurtosis,14,0.03557141851661516,0.03557141851661516
lac_sc3_lac,131,0.02352051179291597,0.02352051179291597
orb_sc31_variance,37,0.01592879261865033,0.01592879261865033
ndvi_sc5_variance,20,-0.006340470796767858,0.006340470796767858
orb_sc51_mean,30,0.0,0.0
lsr_sc31_line_mean,18,0.0,0.0
fourier_sc31_mean,45,0.0,0.0
orb_sc71_kurtosis,15,0.0,0.0
fourier_sc51_mean,47,0.0,0.0
orb_sc51_skew,10,0.0,0.0
gabor_sc3_filter_10,52,0.0,0.0
lbpm_sc5_skew,4,0.0,0.0
mean_sc7_mean,126,0.0,0.0
gabor_sc5_filter_13,71,0.0,0.0
gabor_sc3_filter_11,53,0.0,0.0
hog_sc5_variance,108,0.0,0.0
gabor_sc5_filter_2,73,0.0,0.0
gabor_sc5_filter_3,74,0.0,0.0
gabor_sc5_filter_4,75,0.0,0.0
gabor_sc5_filter_5,76,0.0,0.0
gabor_sc5_filter_7,78,0.0,0.0
gabor_sc5_filter_1,67,0.0,0.0
gabor_sc5_filter_9,80,0.0,0.0
gabor_sc5_mean,81,0.0,0.0
gabor_sc5_variance,82,0.0,0.0
gabor_sc7_filter_1,83,0.0,0.0
gabor_sc7_filter_10,84,0.0,0.0
gabor_sc3_variance,66,0.0,0.0
gabor_sc7_filter_12,86,0.0,0.0
gabor_sc3_filter_9,64,0.0,0.0
gabor_sc7_filter_2,89,0.0,0.0
gabor_sc7_filter_3,90,0.0,0.0
gabor_sc7_filter_4,91,0.0,0.0
gabor_sc7_filter_5,92,0.0,0.0
gabor_sc3_filter_7,62,0.0,0.0
gabor_sc7_filter_7,94,0.0,0.0
gabor_sc7_filter_9,96,0.0,0.0
gabor_sc7_mean,97,0.0,0.0
gabor_sc7_variance,98,0.0,0.0
gabor_sc3_filter_5,60,0.0,0.0
gabor_sc3_filter_4,59,0.0,0.0
hog_sc3_variance,103,0.0,0.0
gabor_sc3_filter_14,56,0.0,0.0
gabor_sc3_filter_13,55,0.0,0.0
lbpm_sc7_skew,1,0.0,0.0
gabor_sc5_filter_14,72,0.0,0.0
